tid,name,club,GK,CA,PA,rep,positions,Aerial,Crossing,Dribbling,Shooting,Passing,Tackling,Technique,Aggression,Creativity,Decisions,Leadership,Movement,Positioning,Teamwork,Pace,Stamina,Strength,Agility,Handling,Kicking,Reflexes,Communication,Throwing
21889,#21889,Isparta 32 Spor,,75,75,3186,AMR/AML/ST,6,10,12,7,11,6,11,5,6,12,5,13,5,8,12,9,3,13,1,1,2,1,2
22082,#22082,1922 Konyaspor,,75,75,1604,ST/AMR/AML,7,9,6,11,10,6,11,6,5,8,9,8,7,6,12,4,8,12,1,3,1,1,1
22221,#22221,Eskişehirspor,Y,75,81,2290,GK,10,1,1,3,9,1,1,5,5,11,10,2,8,6,11,4,7,13,12,9,12,5,7
22227,#22227,Isparta 32 Spor,,75,82,3393,DR,7,6,7,4,8,11,5,9,7,14,10,3,9,9,11,10,7,13,1,1,1,1,2
22587,#22587,Zonguldak Kömürspor,,75,96,1723,DC/DR,11,1,7,4,7,10,7,15,3,12,2,7,15,7,14,8,8,13,3,1,1,3,1
22730,#22730,Nazilli Belediyespor,,75,82,3498,DC/DL,8,4,4,4,7,11,5,15,4,15,14,5,9,7,13,13,5,11,1,1,1,2,1
22736,#22736,Akhisarspor Reserves,,75,76,3692,DL/DML,7,7,7,4,9,12,9,15,7,10,12,6,11,8,12,8,6,11,1,3,2,1,2
22747,#22747,Pazarspor,,75,75,3711,MC/ST/DR,9,6,7,7,11,7,13,7,9,12,10,11,4,8,15,10,7,14,2,1,2,1,1
22758,#22758,Pazarspor,,75,90,3026,DC,8,4,3,5,6,11,1,15,4,13,9,5,13,5,12,4,4,13,3,3,2,2,3
23479,#23479,Isparta 32 Spor,,75,101,3472,ST,14,5,9,12,6,3,11,7,5,6,6,12,7,6,9,7,9,8,2,1,1,1,2
26421,#26421,Uşak Spor A.Ş.,,75,91,3995,MC/MR/AML/AMC/AMR/ML,6,7,10,7,11,9,13,10,8,8,13,9,6,12,11,8,8,10,1,2,1,1,2
28156,#28156,Şanlıurfaspor,,75,88,3297,DL,7,7,3,7,9,14,6,13,3,12,14,7,6,14,10,10,6,10,2,1,1,2,3
28515,#28515,Karacabey Belediye Spor A.Ş.,,75,83,3254,AML/ML/MR/AMR,4,9,10,5,11,5,12,9,8,10,14,9,4,9,12,8,4,10,2,2,2,1,2
29878,#29878,Eskişehirspor,,75,133,4260,AML/AMR/ST,5,10,13,4,11,4,12,13,10,10,8,12,6,6,12,13,7,12,4,3,1,3,2
30609,#30609,Amed Sportif Faaliyetler,,75,78,3651,DR/DMR/MR,5,8,8,5,6,13,6,6,6,12,13,7,4,7,11,12,5,12,1,1,1,1,3
30964,#30964,Kırşehir Belediye Spor,Y,75,84,3102,GK,11,3,1,2,8,2,1,12,5,13,4,3,9,5,10,2,5,10,10,7,13,6,6
30973,#30973,Karacabey Belediye Spor A.Ş.,Y,75,75,3360,GK,12,1,1,2,7,3,1,5,5,14,11,2,2,6,10,7,8,8,11,9,9,4,5
32668,#32668,Uşak Spor A.Ş.,,75,81,3649,ST/AML,6,5,12,9,7,5,8,7,3,11,6,14,5,7,12,8,5,10,4,1,1,1,2
32692,#32692,Tarsus İdman Yurdu,,75,91,4194,MC/AMC,7,5,11,6,12,5,12,7,10,10,3,9,5,10,13,7,9,8,1,1,2,1,1
32917,#32917,Karacabey Belediye Spor A.Ş.,,75,93,2987,DMC/MC,13,4,5,6,12,8,12,11,11,14,4,6,6,10,12,9,8,10,2,2,2,1,3
32980,#32980,Kırşehir Belediye Spor,,75,134,1679,AMC/MC/AML/AMR,4,9,12,7,11,4,13,5,9,9,5,10,9,8,11,8,5,13,3,1,2,2,2
6178,#6178,Uşak Spor A.Ş.,,75,79,3810,AMC/ST,5,10,10,8,10,3,12,5,9,10,15,9,3,10,11,10,5,8,2,1,1,1,1
21580,#21580,1922 Konyaspor,,74,74,1732,MC/AMC/ML/AML/DMC,6,8,7,4,14,6,14,5,11,11,8,10,4,10,12,9,9,13,1,1,1,1,1
5353,#5353,Amed Sportif Faaliyetler,,74,91,3877,DMC/MC/DC/AMC,14,10,7,3,9,10,9,11,4,10,6,3,9,11,13,8,11,12,2,2,1,2,2
21981,#21981,Zonguldak Kömürspor,,73,78,3197,DL/DR/DML/DMR,10,9,8,5,9,10,9,9,5,10,1,8,5,8,14,14,8,14,1,1,1,1,2
30786,#30786,Pazarspor,,73,73,2995,ST,5,4,10,12,4,3,7,12,3,13,2,15,4,6,11,9,9,10,2,3,1,1,3
20774,#20774,Kırklarelispor,,72,95,3830,DMC/MC/AMC,9,8,6,3,10,11,13,10,8,10,5,7,12,10,7,11,11,8,1,1,1,1,2
21655,#21655,Nazilli Belediyespor,,72,72,3821,DL/ML/AML/DML,5,8,9,5,9,10,10,15,7,12,10,8,7,7,13,13,6,13,1,1,2,1,1
30115,#30115,Kırklarelispor,,72,72,3597,AMC/MC/DMC,6,3,8,5,10,8,12,11,7,14,4,10,8,10,15,8,7,13,1,1,1,1,2
22173,#22173,Pazarspor,,71,76,3203,DC,10,3,3,5,6,12,2,15,3,14,9,4,13,5,9,10,9,11,1,4,1,2,2
32665,#32665,24Erzincanspor,,71,71,3184,AMR/AML/DR/ML/MR,8,12,11,4,9,4,7,15,8,16,1,11,4,6,13,7,4,13,1,1,1,1,1
20600,#20600,Amed Sportif Faaliyetler,,70,105,3392,MC/DMC/AMC/ML/MR,5,9,8,5,12,7,13,14,10,11,13,10,9,12,7,8,8,13,2,1,1,2,1
20681,#20681,Amed Sportif Faaliyetler,,70,85,3766,DC,10,3,3,3,5,13,1,8,3,12,9,4,12,6,12,7,6,14,1,1,2,2,1
20688,#20688,24Erzincanspor,,70,100,3514,AML/MR/AMR/ML/ST,7,7,11,8,11,3,13,8,9,8,4,12,4,8,11,9,8,14,3,1,1,1,1
20781,#20781,Nazilli Belediyespor,,70,95,3447,DR/MR/DC/DMR,7,8,8,4,6,9,8,13,6,10,8,7,9,11,11,11,7,12,3,2,1,1,1
21008,#21008,Kırşehir Belediye Spor,,70,85,3178,DC/DMC/DR,13,3,4,7,11,10,6,13,6,8,12,9,9,10,10,11,10,10,1,2,2,2,2
21103,#21103,Ankara Demirspor,,70,90,3567,DMC/MC,9,5,4,5,8,11,6,11,5,13,8,6,11,10,13,8,6,14,1,1,1,2,1
21217,#21217,Kırşehir Belediye Spor,,70,90,3736,DL/DML/ML/DR,7,11,9,5,9,10,11,13,5,8,8,6,7,12,11,11,11,13,2,1,1,1,2
21321,#21321,Kırşehir Belediye Spor,,70,80,1623,ST,11,3,6,9,7,3,10,15,7,11,2,10,6,8,10,10,8,10,1,1,1,1,2
21486,#21486,Nazilli Belediyespor,,70,80,3262,DMC/MC/MR/AMC,9,6,4,6,11,9,11,5,5,14,10,7,12,11,12,9,11,12,1,1,2,1,2
21508,#21508,Pazarspor,,70,93,1612,DL/DR,9,9,6,3,7,8,6,12,4,13,7,7,6,7,14,13,6,14,2,1,3,2,1
21825,#21825,Nazilli Belediyespor,Y,70,75,2953,GK,11,1,1,1,2,1,3,6,4,13,9,2,7,5,11,5,5,15,12,7,9,5,4
21938,#21938,Isparta 32 Spor,Y,70,74,2150,GK,15,1,2,3,12,1,7,10,5,9,11,2,5,8,14,7,9,11,7,5,11,3,3
21966,#21966,Isparta 32 Spor,,70,80,2970,ST/AML/AMC/AMR,9,7,9,7,10,3,5,9,6,9,7,10,5,7,12,9,8,11,1,1,2,1,2
22005,#22005,Zonguldak Kömürspor,,70,89,1679,DMC/MC,8,4,4,4,11,13,9,8,5,13,10,9,11,11,9,9,7,11,2,1,3,1,2
22115,#22115,Ağrı 1970 Spor,Y,70,77,3464,GK,8,1,1,2,9,1,1,10,4,10,3,2,14,5,11,2,6,6,11,9,12,5,5
22693,#22693,Akhisarspor,,70,79,3759,ST,11,4,12,11,4,3,12,5,4,10,6,9,6,7,12,5,6,12,1,1,2,1,2
22846,#22846,Uşak Spor A.Ş.,,70,75,3145,DC,9,3,3,4,6,9,3,7,5,13,6,4,11,6,13,8,8,11,1,1,1,1,1
22858,#22858,Zonguldak Kömürspor,,70,76,3207,AMC/ST,10,7,8,9,12,6,12,11,7,11,13,15,9,9,11,7,5,12,1,1,1,1,1
22952,#22952,1922 Konyaspor,,70,96,3370,DL/DC,9,4,5,4,9,9,7,14,4,14,6,6,11,9,11,11,6,9,3,2,1,2,1
22981,#22981,1922 Konyaspor,,70,85,2726,ML/AML/MR/AMR,5,11,10,4,9,3,11,15,8,10,11,13,5,9,13,8,2,14,1,1,1,1,1
26073,#26073,Şanlıurfaspor,,70,85,3524,MC/DMC/AMC/DC,6,5,2,6,12,7,11,15,10,13,10,10,10,10,8,5,6,9,1,1,1,1,1
26090,#26090,Zonguldak Kömürspor,,70,92,1755,DL/DML/ML/AML,7,10,7,4,9,9,10,15,4,11,8,9,9,8,14,11,6,14,2,1,1,2,2
27207,#27207,Nazilli Belediyespor,,70,75,4215,ST,10,6,5,9,7,4,9,7,10,8,11,8,12,11,11,10,10,11,1,3,2,1,1
28547,#28547,Uşak Spor A.Ş.,,70,100,3600,DR/DMR,7,6,6,5,9,12,9,5,4,9,6,8,8,14,11,10,6,8,3,1,1,2,2
30624,#30624,Zonguldak Kömürspor,,70,107,1682,DC,12,3,3,3,6,7,5,5,4,12,9,5,16,5,11,6,8,9,3,3,1,3,2
32653,#32653,Pazarspor,,70,84,2513,AMR/DR/MR,4,10,13,5,7,5,13,11,8,12,10,13,4,6,13,10,5,13,2,1,2,1,1
22963,#22963,Eskişehirspor Reserves,,69,69,3300,DL/ML/DML,8,8,9,4,9,9,8,9,7,15,10,7,3,7,13,9,5,12,1,2,3,2,3
21793,#21793,Pazarspor,,68,75,1690,DR/MR,6,8,6,5,7,9,7,10,4,14,9,5,7,7,14,12,9,14,1,3,1,1,1
30700,Melih Ataş,Bucaspor 1928,Y,68,99,2467,GK,14,1,4,2,9,1,9,12,3,6,4,4,2,4,5,3,5,13,12,10,12,7,6
22984,#22984,Isparta 32 Spor,,67,67,3260,DC,8,3,3,3,4,11,2,15,3,13,3,4,15,4,12,3,4,12,3,2,3,1,1
20550,#20550,Amed Sportif Faaliyetler,,65,105,3549,AMC/MC/AML/DMC/MR/DR/ML/AMR,5,10,11,6,9,2,13,10,10,9,6,9,5,7,9,8,4,14,3,1,1,1,1
21610,#21610,Pazarspor,Y,65,77,1593,GK,7,1,1,2,8,2,4,13,3,8,11,2,5,5,8,5,5,15,11,9,10,5,5
21646,#21646,Nazilli Belediyespor,,65,70,3165,DL/ML,7,10,8,4,6,9,8,5,4,13,9,8,7,7,12,13,11,13,2,1,2,1,2
21765,#21765,Kırşehir Belediye Spor,,65,80,1656,ST/AML/AMR,10,8,12,7,6,3,12,7,6,7,10,10,3,10,11,10,6,10,3,1,3,1,1
21871,#21871,Karacabey Belediye Spor A.Ş.,,65,85,3576,ML/DL,5,11,9,4,8,9,12,12,6,10,12,7,7,7,13,12,9,13,3,1,2,1,2
21886,#21886,24Erzincanspor,Y,65,65,2750,GK,11,2,2,3,8,1,2,7,3,12,6,2,9,3,10,3,2,8,10,12,9,5,2
22170,#22170,Pazarspor,,65,81,1582,MR/DR,12,7,7,5,10,8,10,12,8,10,10,10,6,8,15,5,5,15,1,1,1,2,1
22560,#22560,Uşak Spor A.Ş.,,65,82,3078,MR/ML/AML/AMR,8,7,7,8,12,5,14,7,8,9,7,9,7,14,6,11,9,8,2,1,3,2,1
22623,#22623,Kırşehir Belediye Spor,,65,75,1583,MR/AMR,6,9,10,4,7,5,6,11,5,13,11,9,4,9,12,8,4,13,2,1,1,2,1
22769,#22769,Zonguldak Kömürspor,,65,80,1700,ST,5,3,8,10,6,3,11,8,3,9,6,12,5,6,13,14,7,13,3,2,1,2,3
22861,#22861,1922 Konyaspor,,65,87,1513,DMC/MC,9,3,3,6,11,12,10,8,5,14,12,8,5,9,12,6,6,11,1,3,2,2,1
28423,#28423,1922 Konyaspor,,65,77,1523,DMC/MC/DC,8,5,5,5,10,9,8,10,8,14,11,7,7,9,11,8,6,8,1,2,2,2,1
28546,#28546,Amed Sportif Faaliyetler,,65,118,3386,AMR/ST,7,10,12,5,8,7,13,5,9,10,9,10,7,7,9,9,7,12,3,1,2,4,1
28548,#28548,Uşak Spor A.Ş. Reserves,,65,83,3247,AMR/AML/ST/AMC,6,10,10,3,10,5,8,5,7,13,13,11,6,6,13,5,4,13,4,1,3,1,1
30780,#30780,Zonguldak Kömürspor,,65,107,1657,DMC/MC,6,4,3,5,10,10,11,15,10,12,13,7,7,9,11,7,6,9,4,3,1,2,2
32951,#32951,Karacabey Belediye Spor A.Ş.,,65,99,3518,ST,12,5,7,8,8,4,10,15,6,11,3,9,7,8,6,6,12,7,2,2,1,2,1
34235,#34235,Amed Sportif Faaliyetler,,65,103,2706,ST,8,4,11,10,5,3,13,12,3,9,1,10,5,4,9,5,7,9,5,1,1,2,2
8585,#8585,Eskişehirspor,,65,105,3621,AMC/MC/AML/AMR/ST,11,10,6,8,11,7,14,12,9,8,7,9,9,6,8,10,7,11,2,2,1,2,2
30737,Turan Demirci,Bucaspor 1928,,65,81,2767,MR/AMR/DR,6,8,9,5,9,7,9,10,7,12,9,11,4,7,13,7,5,10,3,2,1,1,2
25638,#25638,Şanlıurfaspor,,64,70,2904,DC/DMC,15,4,5,5,9,8,9,8,9,9,14,10,6,9,9,12,13,7,1,1,2,2,1
5151,#5151,Uşak Spor A.Ş.,,64,123,4233,DR/DL/DC/DML/DMR,10,8,7,3,9,8,10,13,4,9,7,6,15,13,10,8,11,10,3,1,1,3,1
22593,#22593,Zonguldak Kömürspor,,63,73,1624,ST,11,4,9,10,6,3,9,5,5,7,9,10,5,6,13,10,5,11,2,1,1,1,1
22847,#22847,Amed Sportif Faaliyetler,,63,63,2932,MC/MR,10,8,8,5,9,8,12,13,7,13,12,4,8,9,11,8,6,11,2,4,2,1,2
20404,#20404,Zonguldak Kömürspor,,62,105,1683,MC/DMC/AMC,9,8,9,5,12,7,13,15,9,10,5,7,12,10,10,10,13,11,2,2,1,1,1
20482,#20482,Zonguldak Kömürspor,,62,100,1605,MC/AMC/DMC/MR/AMR/AML/ML,9,8,8,5,13,5,13,10,9,10,14,10,9,11,7,10,5,13,2,1,1,1,1
32915,#32915,Karacabey Belediye Spor A.Ş.,,62,67,2891,DL,8,4,5,4,7,12,8,15,7,9,1,8,6,8,11,7,8,10,2,2,3,1,2
21939,#21939,Isparta 32 Spor,,61,66,3306,DC/DMC,13,3,3,4,7,8,2,9,3,13,11,4,14,6,8,4,6,8,1,2,2,1,2
20730,#20730,Nazilli Belediyespor,,60,110,3083,AML/ML/MR/AMR/ST/DL,8,7,7,5,12,4,14,6,7,7,14,11,8,6,7,12,5,8,3,2,1,1,1
21604,#21604,Akhisarspor,,60,68,2748,DC/DR/DMR,10,5,5,2,6,11,3,12,3,13,14,5,10,6,11,5,5,12,2,1,1,2,1
22951,#22951,1922 Konyaspor,,60,92,1529,DMC/DC,9,5,5,4,9,10,5,7,5,13,4,7,16,9,9,7,5,9,4,3,2,3,2
30618,#30618,Pendikspor Futbol A.Ş.,,60,85,3078,DR/MR,5,6,7,3,6,6,6,12,5,13,2,4,8,5,13,9,5,13,2,2,2,2,3
32678,#32678,Nazilli Belediyespor,,60,68,2621,ST,12,4,8,8,3,3,6,11,6,10,4,10,3,4,14,11,7,12,2,2,3,1,2
32711,#32711,Karacabey Belediye Spor A.Ş.,,60,80,2628,ST,4,3,9,9,7,2,11,8,4,7,11,14,3,6,11,12,3,9,3,3,1,1,1
32916,#32916,Kırklarelispor,,60,65,2461,DL/ML,5,7,8,4,8,10,8,12,3,14,2,7,5,8,14,9,4,14,2,3,1,1,1
32931,#32931,Zonguldak Kömürspor,Y,60,64,1577,GK,14,1,1,3,3,2,2,12,1,12,11,4,4,5,8,7,9,9,10,4,10,4,2
32960,#32960,Kırklarelispor,,60,87,2901,DC/DR/DMC,8,4,2,4,7,9,7,8,4,12,1,5,14,6,10,6,4,10,2,3,2,3,1
21823,#21823,Karacabey Belediye Spor A.Ş.,,58,58,2531,ST/AMC/AML/ML/MC,7,8,9,6,12,3,7,9,5,8,1,8,5,6,13,7,4,12,1,1,1,1,1
32921,#32921,Kırşehir Belediye Spor,,58,58,1554,AML/AMR/ST,8,5,6,5,9,6,9,5,6,9,10,11,5,7,12,8,5,8,2,2,2,1,2
32919,#32919,Ankara Demirspor,,56,56,2968,DR,10,4,6,5,6,9,6,9,5,13,9,3,6,8,11,10,7,9,1,1,2,1,2
21572,#21572,Karacabey Belediye Spor A.Ş.,,55,78,2637,DC/DL,10,3,4,3,6,9,3,12,7,8,13,6,11,11,8,11,11,6,4,4,1,2,1
22563,#22563,Akhisarspor,,55,56,2979,DMC/MC,6,3,5,4,7,9,9,8,10,12,10,5,11,8,12,4,4,12,2,3,2,1,1
22707,#22707,Nazilli Belediyespor,,55,82,2495,MC/AMC,5,3,5,4,12,6,8,12,7,12,13,10,7,7,13,6,4,13,3,3,2,3,1
28512,#28512,Ağrı 1970 Spor,,55,89,2734,DC,9,3,2,2,3,10,4,5,3,11,3,4,14,4,12,8,4,12,3,3,1,2,1
28518,#28518,Pazarspor Reserves,,55,57,1518,MC/DMC,5,3,5,5,10,9,7,15,6,8,10,10,9,11,10,10,6,13,1,4,2,1,1
28525,#28525,Kırşehir Belediye Spor,,55,89,2385,MC/DMC/AMC,4,4,7,5,11,7,13,15,9,10,8,8,5,9,10,8,6,7,2,3,1,3,1
28566,#28566,Pendikspor Futbol A.Ş. Reserves,,55,64,3077,ST/AML/AMR,8,6,10,7,5,4,12,5,5,9,12,4,5,7,11,8,6,11,3,1,1,1,1
29873,#29873,Akhisarspor,,55,89,3077,ST/AML,6,4,4,7,7,2,9,12,4,11,13,9,6,6,13,9,6,13,2,2,1,1,1
30632,#30632,Isparta 32 Spor,,55,64,2784,DL/DC/ML,6,2,4,4,7,11,2,15,4,14,9,6,6,7,11,8,6,12,2,1,1,1,1
30781,#30781,Kırşehir Belediye Spor,,55,65,1818,ST,6,3,8,6,2,2,9,5,5,9,8,14,4,4,10,8,5,12,2,1,1,1,2
34192,#34192,Isparta 32 Spor,,55,79,2331,DC/DR,9,2,3,2,6,10,5,9,2,12,6,6,12,5,13,10,5,12,3,3,2,2,2
34200,#34200,Eskişehirspor,,55,78,2720,MC/DMC,10,5,3,4,16,9,13,7,5,11,2,4,9,10,10,9,7,9,4,1,3,2,1
30976,Ege Okka,Bucaspor 1928,,55,64,1286,MC,3,3,3,5,9,5,10,8,12,14,9,10,6,9,11,10,5,10,2,2,2,1,2
22237,Sabahattin Destici,Bucaspor 1928,,55,55,2439,MC/MR/DR,7,5,5,4,11,8,9,15,8,11,3,9,8,8,12,9,6,12,1,1,1,1,1
34198,#34198,Eskişehirspor,Y,54,54,2011,GK,11,2,1,3,6,2,1,9,3,12,4,3,1,4,5,2,4,9,7,12,12,3,2
22231,#22231,Karacabey Belediye Spor A.Ş.,,50,63,2575,DL,15,4,7,3,6,9,2,11,5,10,9,6,6,6,11,11,8,9,1,1,1,2,1
28531,#28531,Kırklarelispor,Y,50,50,2173,GK,5,2,1,3,7,1,1,14,3,13,6,2,6,4,4,2,4,9,9,7,12,4,5
28541,#28541,Şanlıurfaspor,,50,57,2395,AMR/MR,4,9,13,3,8,4,11,13,6,11,9,13,4,6,15,10,4,13,2,1,1,1,1
28552,#28552,Ağrı 1970 Spor,,50,50,2429,ST,7,2,10,8,2,2,4,5,5,8,4,12,2,5,14,6,8,12,2,1,1,1,2
28837,#28837,Amed Sportif Faaliyetler,,50,68,2229,DC,8,2,2,3,4,7,1,9,3,12,10,5,15,3,5,6,6,8,2,1,3,3,2
29872,#29872,24Erzincanspor Reserves,,50,58,2460,ST,8,2,6,8,5,2,9,9,4,8,10,13,2,5,7,13,7,9,1,4,1,1,1
30734,#30734,Bucaspor 1928 Reserves,,50,61,2279,DMC/MC,8,4,1,4,11,15,6,7,7,12,1,4,7,8,7,7,5,7,2,1,4,1,1
30735,#30735,1922 Konyaspor,Y,50,58,1501,GK,6,2,1,2,5,1,2,9,2,11,9,3,4,3,10,3,4,11,8,12,11,4,2
32679,#32679,Karacabey Belediye Spor A.Ş.,,50,69,2542,ST,6,3,9,8,4,2,10,9,2,6,1,12,3,3,12,7,7,11,3,4,1,3,1
32937,#32937,Nazilli Belediyespor,,50,56,866,DMC/MC,8,2,2,4,9,9,6,15,10,13,3,7,5,5,11,7,6,13,1,4,3,1,1
30729,#30729,Kırşehir Belediye Spor,,49,49,2639,ST/AML/AMR,7,7,7,6,7,2,5,8,4,9,10,8,3,5,14,6,5,13,1,2,1,1,1
22247,#22247,Pazarspor,Y,48,48,1469,GK,6,2,2,2,5,2,2,6,3,12,12,5,7,3,10,3,6,9,8,7,5,5,5
28771,#28771,Pazarspor,,47,47,2486,AML/ML/ST,4,9,11,5,7,4,9,5,9,9,9,8,5,6,12,11,4,9,1,1,3,1,1
30784,#30784,Şanlıurfaspor,,47,47,1941,ST/MC,11,2,9,6,3,2,11,14,2,11,6,13,3,4,11,10,8,8,2,3,2,1,3
30788,#30788,Akhisarspor Reserves,,45,47,2132,DC/DMC,13,2,2,3,6,12,1,14,2,13,2,5,6,5,7,7,7,6,2,3,1,1,1
32934,#32934,Isparta 32 Spor,,45,71,1425,MC/DMC,7,3,4,2,11,7,7,15,9,12,6,8,5,8,10,7,5,11,2,2,1,2,1
22985,#22985,Zonguldak Kömürspor,,42,42,1468,DR,10,1,5,2,7,8,7,10,3,13,6,7,8,7,7,14,7,8,1,1,2,1,2
22116,#22116,Nazilli Belediyespor,,40,58,2298,ST,10,3,6,5,2,1,8,8,2,9,14,13,5,4,12,8,9,12,2,1,1,1,1
28665,#28665,Pazarspor Reserves,Y,35,61,1830,GK,9,1,1,1,3,2,1,8,2,11,8,2,6,3,10,3,4,10,5,13,8,3,2
32706,#32706,Şanlıurfaspor,,30,30,1715,ST,7,2,5,5,1,1,7,8,3,8,8,15,1,3,12,6,3,8,1,3,1,1,1
22633,#22633,Uşak Spor A.Ş.,,15,45,1740,DL/DML,7,5,2,1,1,6,4,9,3,8,10,7,4,6,10,6,2,11,2,4,1,3,1
28756,#28756,Uşak Spor A.Ş.,,15,51,2083,ST,8,1,6,2,1,1,8,10,2,5,4,11,2,6,13,8,3,9,2,1,2,2,1
